Name,Points won on serve,Total points served ,Games won on serve,Total games served ,Empirical probability of winning a rally on a serve =A/B,Empirical probability of winning a rally on a serve =C/D,"Theoretical probability of winning a game on serve, given by (5), with empirical probability of winning a rally on a serve from E"
S. Williams,276,390,57,64,0.71,0.89,0.91
V. Williams,273,352,51,62,0.67,0.82,0.86
J. Henin,252,427,48,66,0.59,0.73,0.71
A. Mauresmo,241,378,50,57,0.64,0.88,0.81
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
