Name,Points won on serve,Total points served ,Games won on serve,Total games served ,Empirical probability of winning a rally on a serve =A/B,Empirical probability of winning a rally on a serve =C/D,"Theoretical probability of winning a game on serve, given by (5), with empirical probability of winning a rally on a serve from E"
L. Hewitt,450,646,96,107,0.70,0.90,0.90
D. Nalbandian,516,847,94,128,0.61,0.73,0.76
T. Henman,457,683,92,110,0.67,0.84,0.86
X. Malisse,483,721,101,114,0.67,0.89,0.86
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
